Événement ID;Date Événement;Code Événement;Libellé Événement;Id Offre;Titre Offre;Date Publication Offre;Offre publiée ?;Code Domaine;Libellé Domaine;Code Opérateur;Libellé Opérateur;Utilisateur ID;Tenant ID
6416;2025-04-17T10:37:16.731898;CST;Consultation;299;Conducteur Tramway avec des missions de contrôle en rythme alterné H/F;2025-04-09T18:05:48.072937;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6415;2025-04-17T10:36:42.465018;CST;Consultation;300;Technicien méthodes F/H;2025-04-11T18:00:35.721197;true;BT;Bus et Trolleybus;KEOLY;KEOLIS LYON;0;
6414;2025-04-17T10:36:10.047795;CDT;Candidature;289;Chefs de Bord DCI - H/F;2025-04-01T18:05:44.298819;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6413;2025-04-17T10:36:09.531375;CDT;Candidature;289;Chefs de Bord DCI - H/F;2025-04-01T18:05:44.298819;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6412;2025-04-17T10:35:46.618461;CST;Consultation;289;Chefs de Bord DCI - H/F;2025-04-01T18:05:44.298819;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6411;2025-04-17T10:35:42.801884;CST;Consultation;289;Chefs de Bord DCI - H/F;2025-04-01T18:05:44.298819;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6410;2025-04-17T10:33:41.218973;CST;Consultation;299;Conducteur Tramway avec des missions de contrôle en rythme alterné H/F;2025-04-09T18:05:48.072937;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6409;2025-04-17T10:32:50.304041;CDT;Candidature;304;Technicien Contrôle Intervention DCI ML et SIA  en rythme alterné H/F;2025-04-15T18:05:41.554904;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6408;2025-04-17T10:32:41.123578;CDT;Candidature;304;Technicien Contrôle Intervention DCI ML et SIA  en rythme alterné H/F;2025-04-15T18:05:41.554904;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6407;2025-04-17T10:32:21.988771;CST;Consultation;304;Technicien Contrôle Intervention DCI ML et SIA  en rythme alterné H/F;2025-04-15T18:05:41.554904;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6406;2025-04-17T10:31:57.659327;CST;Consultation;294;Chargé de coordination nettoyage F/H;2025-04-05T18:00:33.804673;true;BT;Bus et Trolleybus;KEOLY;KEOLIS LYON;6;b87cc266-09c4-40cc-8dfa-c92e08bf9cb4
6405;2025-04-17T09:23:55.744925;CST;Consultation;297;Superviseur PC BUS F/H;2025-04-08T18:00:37.291653;true;BT;Bus et Trolleybus;KEOLY;KEOLIS LYON;10;6b23e274-b621-4690-a6c9-bf8828efd33e
6404;2025-04-17T09:21:21.245613;CST;Consultation;259;Opérateur PC Sécurité (H/F);2025-02-05T18:05:58.794084;true;ML;Modes lourds;RATPLY;RATP DEV LYON;10;6b23e274-b621-4690-a6c9-bf8828efd33e
6403;2025-04-17T09:19:07.287891;CST;Consultation;294;Chargé de coordination nettoyage F/H;2025-04-05T18:00:33.804673;true;BT;Bus et Trolleybus;KEOLY;KEOLIS LYON;10;6b23e274-b621-4690-a6c9-bf8828efd33e
6402;2025-04-17T09:01:40.354283;CDT;Candidature;294;Chargé de coordination nettoyage F/H;2025-04-05T18:00:33.804673;true;BT;Bus et Trolleybus;KEOLY;KEOLIS LYON;10;6b23e274-b621-4690-a6c9-bf8828efd33e
6401;2025-04-17T09:01:07.682486;CDT;Candidature;294;Chargé de coordination nettoyage F/H;2025-04-05T18:00:33.804673;true;BT;Bus et Trolleybus;KEOLY;KEOLIS LYON;10;6b23e274-b621-4690-a6c9-bf8828efd33e
6400;2025-04-17T09:00:42.151026;CST;Consultation;294;Chargé de coordination nettoyage F/H;2025-04-05T18:00:33.804673;true;BT;Bus et Trolleybus;KEOLY;KEOLIS LYON;10;6b23e274-b621-4690-a6c9-bf8828efd33e
6399;2025-04-17T08:57:07.18527;CST;Consultation;302;Chef d?Equipe Maintenance Métro / Tramway H/F;2025-04-14T18:05:30.934025;true;ML;Modes lourds;RATPLY;RATP DEV LYON;10;6b23e274-b621-4690-a6c9-bf8828efd33e
6398;2025-04-17T08:55:17.848751;CST;Consultation;303;Responsable Formation et sécurité ferroviaire H/F;2025-04-14T18:05:31.025246;true;ML;Modes lourds;RATPLY;RATP DEV LYON;10;6b23e274-b621-4690-a6c9-bf8828efd33e
6397;2025-04-17T08:53:59.784633;CST;Consultation;303;Responsable Formation et sécurité ferroviaire H/F;2025-04-14T18:05:31.025246;true;ML;Modes lourds;RATPLY;RATP DEV LYON;10;6b23e274-b621-4690-a6c9-bf8828efd33e
6396;2025-04-17T08:53:33.457396;CST;Consultation;305;Responsable Achat H/F;2025-04-15T18:05:41.671481;true;ML;Modes lourds;RATPLY;RATP DEV LYON;10;6b23e274-b621-4690-a6c9-bf8828efd33e
6395;2025-04-17T08:33:49.805211;CST;Consultation;237;Chargé.e d'information voyageurs;2025-01-25T17:42:02.917552;true;RU;Relations usagers;RU;SPL RU;10;6b23e274-b621-4690-a6c9-bf8828efd33e
6394;2025-04-17T08:32:35.243275;CST;Consultation;269;Développeur.se full-stack;2025-03-03T18:10:42.918232;true;RU;Relations usagers;RU;SPL RU;10;6b23e274-b621-4690-a6c9-bf8828efd33e
6393;2025-04-17T08:06:51.904693;CST;Consultation;305;Responsable Achat H/F;2025-04-15T18:05:41.671481;true;ML;Modes lourds;RATPLY;RATP DEV LYON;10;6b23e274-b621-4690-a6c9-bf8828efd33e
6392;2025-04-17T07:24:40.293091;CST;Consultation;304;Technicien Contrôle Intervention DCI ML et SIA  en rythme alterné H/F;2025-04-15T18:05:41.554904;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6391;2025-04-17T07:17:42.360535;CST;Consultation;295;Conducteur de Métro H/F;2025-04-07T18:05:44.187657;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6390;2025-04-17T07:15:21.822428;CST;Consultation;237;Chargé.e d'information voyageurs;2025-01-25T17:42:02.917552;true;RU;Relations usagers;RU;SPL RU;0;
6389;2025-04-17T07:11:50.303265;CST;Consultation;295;Conducteur de Métro H/F;2025-04-07T18:05:44.187657;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6388;2025-04-17T07:10:57.022398;CST;Consultation;296;Chargé d'études et méthodes F/H CDD;2025-04-08T18:00:37.208246;true;BT;Bus et Trolleybus;KEOLY;KEOLIS LYON;0;
6387;2025-04-17T07:09:21.911969;CST;Consultation;301;Responsable de lignes F/H;2025-04-14T18:00:29.764656;true;BT;Bus et Trolleybus;KEOLY;KEOLIS LYON;0;
6386;2025-04-17T06:34:15.702751;CST;Consultation;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6385;2025-04-17T06:33:45.841692;CST;Consultation;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6384;2025-04-16T18:05:47.048189;CST;Consultation;304;Technicien Contrôle Intervention DCI ML et SIA  en rythme alterné H/F;2025-04-15T18:05:41.554904;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6383;2025-04-16T17:50:05.753045;CST;Consultation;304;Technicien Contrôle Intervention DCI ML et SIA  en rythme alterné H/F;2025-04-15T18:05:41.554904;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6382;2025-04-16T16:08:25.314532;CST;Consultation;299;Conducteur Tramway avec des missions de contrôle en rythme alterné H/F;2025-04-09T18:05:48.072937;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6381;2025-04-16T16:07:55.486819;CST;Consultation;272;Responsable Info Mobilité H/F;2025-03-06T18:10:47.762857;true;RU;Relations usagers;RU;SPL RU;0;
6380;2025-04-16T16:07:18.931983;CST;Consultation;300;Technicien méthodes F/H;2025-04-11T18:00:35.721197;true;BT;Bus et Trolleybus;KEOLY;KEOLIS LYON;0;
6379;2025-04-16T16:06:33.505586;CST;Consultation;284;Chef de projet opérationnel H/F;2025-03-19T18:10:47.648496;true;RU;Relations usagers;RU;SPL RU;0;
6378;2025-04-16T16:03:22.978056;CST;Consultation;305;Responsable Achat H/F;2025-04-15T18:05:41.671481;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6377;2025-04-16T15:55:27.857232;CST;Consultation;303;Responsable Formation et sécurité ferroviaire H/F;2025-04-14T18:05:31.025246;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6376;2025-04-16T15:19:26.862846;CST;Consultation;255;Contrôleur maintenance billettique;2025-01-29T18:10:31.855918;true;RU;Relations usagers;RU;SPL RU;12;846ece69-a6d3-4892-83ca-a966df6f640e
6375;2025-04-16T15:15:17.283499;CST;Consultation;270;Ingénieur.e Data;2025-03-03T18:10:42.992088;true;RU;Relations usagers;RU;SPL RU;12;846ece69-a6d3-4892-83ca-a966df6f640e
6374;2025-04-16T15:14:04.908335;CST;Consultation;290;Chef de Projets SI;2025-04-02T08:10:42.4179;true;RU;Relations usagers;RU;SPL RU;12;846ece69-a6d3-4892-83ca-a966df6f640e
6373;2025-04-16T15:13:06.128684;CST;Consultation;292;Ingénieur.e Systèmes et Exploitation - Supervision;2025-04-02T18:10:45.840745;true;RU;Relations usagers;RU;SPL RU;12;846ece69-a6d3-4892-83ca-a966df6f640e
6372;2025-04-16T14:46:02.595645;CST;Consultation;302;Chef d?Equipe Maintenance Métro / Tramway H/F;2025-04-14T18:05:30.934025;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6371;2025-04-16T13:13:17.451003;CST;Consultation;255;Contrôleur maintenance billettique;2025-01-29T18:10:31.855918;true;RU;Relations usagers;RU;SPL RU;0;
6370;2025-04-16T13:11:38.558742;CST;Consultation;298;Vivier Formateur Tramway (H/F);2025-04-08T18:05:34.168955;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6369;2025-04-16T13:10:15.146798;CST;Consultation;295;Conducteur de Métro H/F;2025-04-07T18:05:44.187657;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6368;2025-04-16T13:06:50.360607;CST;Consultation;304;Technicien Contrôle Intervention DCI ML et SIA  en rythme alterné H/F;2025-04-15T18:05:41.554904;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6367;2025-04-16T13:05:31.72411;CDT;Candidature;299;Conducteur Tramway avec des missions de contrôle en rythme alterné H/F;2025-04-09T18:05:48.072937;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6366;2025-04-16T13:03:50.906269;CST;Consultation;299;Conducteur Tramway avec des missions de contrôle en rythme alterné H/F;2025-04-09T18:05:48.072937;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6365;2025-04-16T13:00:43.27052;CST;Consultation;304;Technicien Contrôle Intervention DCI ML et SIA  en rythme alterné H/F;2025-04-15T18:05:41.554904;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6364;2025-04-16T12:46:09.150963;CDT;Candidature;305;Responsable Achat H/F;2025-04-15T18:05:41.671481;true;ML;Modes lourds;RATPLY;RATP DEV LYON;3;846ece69-a6d3-4892-83ca-a966df6f640e
6363;2025-04-16T12:46:00.7413;CST;Consultation;305;Responsable Achat H/F;2025-04-15T18:05:41.671481;true;ML;Modes lourds;RATPLY;RATP DEV LYON;3;846ece69-a6d3-4892-83ca-a966df6f640e
6362;2025-04-16T12:40:04.736521;CST;Consultation;292;Ingénieur.e Systèmes et Exploitation - Supervision;2025-04-02T18:10:45.840745;true;RU;Relations usagers;RU;SPL RU;3;846ece69-a6d3-4892-83ca-a966df6f640e
6361;2025-04-16T12:37:17.650913;CST;Consultation;304;Technicien Contrôle Intervention DCI ML et SIA  en rythme alterné H/F;2025-04-15T18:05:41.554904;true;ML;Modes lourds;RATPLY;RATP DEV LYON;6;b87cc266-09c4-40cc-8dfa-c92e08bf9cb4
6360;2025-04-16T11:49:58.441592;CST;Consultation;305;Responsable Achat H/F;2025-04-15T18:05:41.671481;true;ML;Modes lourds;RATPLY;RATP DEV LYON;10;6b23e274-b621-4690-a6c9-bf8828efd33e
6359;2025-04-16T10:59:36.138305;CST;Consultation;305;Responsable Achat H/F;2025-04-15T18:05:41.671481;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6358;2025-04-16T10:07:46.578817;CDT;Candidature;189;Technicien maintenance métro/tramway H/F;2025-01-07T18:05:52.826197;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6357;2025-04-16T10:07:46.034654;CDT;Candidature;189;Technicien maintenance métro/tramway H/F;2025-01-07T18:05:52.826197;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6356;2025-04-16T10:07:43.794273;CDT;Candidature;189;Technicien maintenance métro/tramway H/F;2025-01-07T18:05:52.826197;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6355;2025-04-16T10:07:21.689234;CDT;Candidature;189;Technicien maintenance métro/tramway H/F;2025-01-07T18:05:52.826197;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6354;2025-04-16T10:07:20.398527;CDT;Candidature;189;Technicien maintenance métro/tramway H/F;2025-01-07T18:05:52.826197;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6353;2025-04-16T10:07:15.831548;CST;Consultation;189;Technicien maintenance métro/tramway H/F;2025-01-07T18:05:52.826197;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
6352;2025-04-16T10:00:07.421319;CST;Consultation;259;Opérateur PC Sécurité (H/F);2025-02-05T18:05:58.794084;true;ML;Modes lourds;RATPLY;RATP DEV LYON;9;7124e463-2734-41bf-bddb-3e475374f94c
6351;2025-04-16T09:48:01.924373;CST;Consultation;297;Superviseur PC BUS F/H;2025-04-08T18:00:37.291653;true;BT;Bus et Trolleybus;KEOLY;KEOLIS LYON;9;7124e463-2734-41bf-bddb-3e475374f94c
6350;2025-04-16T07:49:11.603699;CST;Consultation;237;Chargé.e d'information voyageurs;2025-01-25T17:42:02.917552;true;RU;Relations usagers;RU;SPL RU;10;6b23e274-b621-4690-a6c9-bf8828efd33e
6349;2025-04-16T07:48:44.854921;CST;Consultation;272;Responsable Info Mobilité H/F;2025-03-06T18:10:47.762857;true;RU;Relations usagers;RU;SPL RU;10;6b23e274-b621-4690-a6c9-bf8828efd33e
6348;2025-04-16T07:48:14.567105;CST;Consultation;268;Opérateur/Opératrice Information Voyageurs (F/H);2025-02-27T18:00:35.951881;true;BT;Bus et Trolleybus;KEOLY;KEOLIS LYON;10;6b23e274-b621-4690-a6c9-bf8828efd33e
6347;2025-04-16T07:47:03.776013;CST;Consultation;297;Superviseur PC BUS F/H;2025-04-08T18:00:37.291653;true;BT;Bus et Trolleybus;KEOLY;KEOLIS LYON;10;6b23e274-b621-4690-a6c9-bf8828efd33e
6346;2025-04-16T07:46:39.572684;CST;Consultation;301;Responsable de lignes F/H;2025-04-14T18:00:29.764656;true;BT;Bus et Trolleybus;KEOLY;KEOLIS LYON;10;6b23e274-b621-4690-a6c9-bf8828efd33e
6345;2025-04-16T07:45:43.564754;CST;Consultation;305;Responsable Achat H/F;2025-04-15T18:05:41.671481;true;ML;Modes lourds;RATPLY;RATP DEV LYON;10;6b23e274-b621-4690-a6c9-bf8828efd33e
6344;2025-04-16T07:45:32.990472;CST;Consultation;235;Administrateur.rice fonctionnel;2025-01-25T17:42:02.855863;true;RU;Relations usagers;RU;SPL RU;10;6b23e274-b621-4690-a6c9-bf8828efd33e
6343;2025-04-15T18:59:27.257268;CST;Consultation;298;Vivier Formateur Tramway (H/F);2025-04-08T18:05:34.168955;true;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
